"CONSEC","CAPITULO","CVE_PROC","DESCRIP","PRO_CVE_EDIA","PRO_EDAD_IA","PRO_CVE_EDFA","PRO_EDAD_FA","SEXO","PROCED","PRO_PRINCIPAL"
"1","00","00","PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS EN OTRA PARTE","0","0","0","0","0","",""
"2","00","000","ULTRASONIDO TERAPÉUTICO","0","0","0","0","0","","F"
"3","00","0001","ULTRASONIDO TERAPÉUTICO DE VASOS DE CABEZA Y CUELLO","0","0","0","0","0","T","T"
"4","00","0002","ULTRASONIDO TERAPÉUTICO CARDÍACO","0","0","0","0","0","T","T"
"5","00","0003","ULTRASONIDO TERAPÉUTICO DE VASOS PERIFÉRICOS","0","0","0","0","0","T","T"
"6","00","0009","OTRO ULTRASONIDO TERAPÉUTICO","0","0","0","0","0","T","T"
"7","00","001","FÁRMACOS","0","0","0","0","0","","F"
"8","00","0010","IMPLANTACIÓN DE AGENTE QUIMIOTERAPÉUTICO","0","0","0","0","0","T","F"
"9","00","0011","INFUSIÓN DE DROTRECOGÍN ALFA (ACTIVADA)","0","0","0","0","0","T","F"
"10","00","0012","ADMINISTRACIÓN DE ÓXIDO NÍTRICO INHALADO","0","0","0","0","0","T","T"
"11","00","0013","INYECCIÓN O INFUSIÓN DE NESIRITIDE","0","0","0","0","0","T","T"
"12","00","0014","INYECCIÓN O INFUSIÓN DE ANTIBIÓTICOS DEL GRUPO DE LA OXAZOLIDINONA","0","0","0","0","0","T","T"
"13","00","0015","INFUSIÓN DE DOSIS ALTA DE INTERLEUCINA-2 [IL-2]","0","0","0","0","0","T","T"
"14","00","0016","TRATAMIENTO PRESURIZADO DE INJERTO DE DERIVACIÓN VENOSO [CONDUCTO] CON SUSTANCIA MEDICAMENTOSA","0","0","0","0","0","T","T"
"15","00","0017","INFUSIÓN DE AGENTE VASOPRESOR","0","0","0","0","0","T","T"
"16","00","0018","TERAPIA DE INFUSIÓN DE ANTICUERPOS INMUNOSUPRESORES","0","0","0","0","0","T","T"
"17","00","0019","IRRUPCIÓN DE LA BARRERA HEMATOENCEFÁLICA VÍA INFUSIÓN [IBH] [BBBD]","0","0","0","0","0","T","T"
"18","00","002","IMAGEN INTRAVASCULAR DE VASOS SANGUÍNEOS","0","0","0","0","0","","F"
"19","00","0021","IMAGEN INTRAVASCULAR DE VASOS CEREBRALES EXTRACRANEALES","0","0","0","0","0","D","T"
"20","00","0022","IMAGEN INTRAVASCULAR DE VASOS INTRATORÁCICOS","0","0","0","0","0","D","T"
"21","00","0023","IMAGEN INTRAVASCULAR DE VASOS PERIFÉRICOS","0","0","0","0","0","D","T"
"22","00","0024","IMAGEN INTRAVASCULAR DE VASOS CORONARIOS","0","0","0","0","0","D","T"
"23","00","0025","IMAGEN INTRAVASCULAR DE VASOS RENALES","0","0","0","0","0","D","T"
"24","00","0028","IMAGEN INTRAVASCULAR DE OTRO(S) VASO(S) ESPECIFICADO(S)","0","0","0","0","0","D","T"
"25","00","0029","IMAGEN INTRAVASCULAR DE VASO(S) NO ESPECIFICADO(S)","0","0","0","0","0","D","T"
"26","00","003","CIRUGÍA ESPECIFICADOS ASISTIDA POR ORDENADOR [CAS]","0","0","0","0","0","","F"
"27","00","0031","CIRUGÍA ASISTIDA POR ORDENADOR CON TAC/TC","0","0","0","0","0","Q","F"
"28","00","0032","CIRUGÍA ASISTIDA POR ORDENADOR CON RM/ARM","0","0","0","0","0","Q","F"
"29","00","0033","CIRUGÍA ASISTIDA POR ORDENADOR CON RADIOSCOPIA","0","0","0","0","0","Q","F"
"30","00","0034","CIRUGÍA ASISTIDA POR ORDENADOR SIN IMAGEN","0","0","0","0","0","Q","F"
"31","00","0035","CIRUGÍA ASISTIDA POR ORDENADOR CON MÚLTIPLES FUENTES DE DATOS","0","0","0","0","0","Q","F"
"32","00","0039","OTRA CIRUGÍA ASISTIDA POR ORDENADOR","0","0","0","0","0","Q","F"
"33","00","004","PROCEDIMIENTOS AUXILIARES SOBRE EL SISTEMA VASCULAR","0","0","0","0","0","","F"
"34","00","0040","PROCEDIMIENTO SOBRE UN SOLO VASO","0","0","0","0","0","Q","T"
"35","00","0041","PROCEDIMIENTO SOBRE DOS VASOS","0","0","0","0","0","Q","T"
"36","00","0042","PROCEDIMIENTO SOBRE TRES VASOS","0","0","0","0","0","Q","T"
"37","00","0043","PROCEDIMIENTO SOBRE CUATRO O MÁS VASOS","0","0","0","0","0","Q","T"
"38","00","0044","PROCEDIMIENTO SOBRE BIFURCACIÓN VASCULAR","0","0","0","0","0","Q","T"
"39","00","0045","INSERCIÓN DE UN STENT VASCULAR","0","0","0","0","0","Q","T"
"40","00","0046","INSERCIÓN DE DOS STENTS VASCULARES","0","0","0","0","0","Q","T"
"41","00","0047","INSERCIÓN DE TRES STENTS VASCULARES","0","0","0","0","0","Q","T"
"42","00","0048","INSERCIÓN DE CUATRO O MÁS STENTS VASCULARES","0","0","0","0","0","Q","T"
"43","00","0049","TERAPIA CON OXIGENO SUPERSATURADO","0","0","0","0","0","Q","T"
"44","00","005","OTROS PROCEDIMIENTOS CARDIOVASCULARES","0","0","0","0","0","","F"
"45","00","0050","IMPLANTACIÓN DE MARCAPASOS DE RESINCRONIZACIÓN CARDÍACA SIN MENCIÓN DE DESFIBRILACIÓN, SISTEMA TOTAL [DRCT] [CRT-P]","0","0","0","0","0","Q","F"
"46","00","0051","IMPLANTACIÓN DE DESFIBRILADOR DE RESINCRONIZACIÓN CARDÍACA, SISTEMA TOTAL [DRCT] [CRT-D]","0","0","0","0","0","Q","F"
"47","00","0052","IMPLANTACIÓN O SUSTITUCIÓN DE ELECTRODO DENTRO DEL SISTEMA VENOSO CORONARIO VENTRICULAR IZQUIERDO","0","0","0","0","0","Q","F"
"48","00","0053","IMPLANTACIÓN DE O SUSTITUCIÓN DE MARCAPASOS DE RESINCRONIZACIÓN CARDÍACA SÓLO GENERADOR DE PULSO [IMRC] [CRT-P]","0","0","0","0","0","Q","F"
"49","00","0054","IMPLANTACIÓN O SUSTITUCIÓN DE DESFIBRILADOR DE RESINCRONIZACIÓN CARDÍACA,SÓLO DISPOSITIVO GENERADOR DE PULSO [DRC] [CRT-D]","0","0","0","0","0","Q","F"
"50","00","0055","INSERCIÓN DE STENT(S) LIBERADOR DE FÁRMACO EN VASO PERIFÉRICO","0","0","0","0","0","Q","T"
"51","00","0056","INSERCIÓN O SUSTITUCIÓN DE SENSOR DE PRESIÓN IMPLANTABLE (ELECTRODO) PARA MONITORIZACIÓN HEMODINÁMICA INTRACARDIACA","0","0","0","0","0","Q","T"
"52","00","0057","IMPLANTACIÓN O SUSTITUCIÓN DE DISPOSITIVO SUBCUTÁNEO PARA MONITORIZACIÓN HEMODINÁMICA INTRACARDIACA","0","0","0","0","0","Q","T"
"53","00","0058","INSERCIÓN DE DISPOSITIVO PARA MONITORIZACIÓN DE PRESIÓN EN SACO INTRA-ANEURISMÁTICO (INTRAOPERATORIO)","0","0","0","0","0","Q","T"
"54","00","0059","MEDICIÓN DE PRESIÓN INTRAVASCULAR DE ARTERIAS CORONARIAS","0","0","0","0","0","D","T"
"55","00","006","PROCEDIMIENTOS SOBRE VASOS SANGUÍNEOS","0","0","0","0","0","","F"
"56","00","0061","ANGIOPLASTIA O ATERECTOMÍA PERCUTÁNEA DE VASO(S) PRECEREBRAL(ES) (EXTRACRANEAL(ES))","0","0","0","0","0","Q","T"
"57","00","0062","ANGIOPLASTIA O ATERECTOMÍA PERCUTÁNEA DE VASO(S) INTRACRANEAL(ES)","0","0","0","0","0","Q","T"
"58","00","0063","INSERCIÓN PERCUTÁNEA DE STENT(S) DE ARTERIA CARÓTIDA","0","0","0","0","0","Q","T"
"59","00","0064","INSERCIÓN PERCUTÁNEA DE STENT(S) DE OTRA ARTERIA PRECEREBRAL (EXTRACRANEAL)","0","0","0","0","0","Q","T"
"60","00","0065","INSERCIÓN PERCUTÁNEA DE STENT(S) VASCULAR(ES) INTRACRANEAL(ES)","0","0","0","0","0","Q","T"
"61","00","0066","ANGIOPLASTIA CORONARIA PERCUTÁNEA TRANSLUMINAL (ACTP) [PTCA] O ATERECTOMÍA CORONARIA","0","0","0","0","0","Q","T"
"62","00","0067","MEDICIÓN DE PRESIÓN INTRAVASCULAR DE ARTERIAS INTRATORÁCICAS","0","0","0","0","0","D","T"
"63","00","0068","MEDICIÓN DE PRESIÓN INTRAVASCULAR DE ARTERIAS PERIFÉRICAS","0","0","0","0","0","D","T"
"64","00","0069","MEDICIÓN DE PRESIÓN INTRAVASCULAR DE OTROS VASOS ESPECIFICADOS Y LOS NO ESPECIFICADOS","0","0","0","0","0","D","T"
"65","00","007","OTROS PROCEDIMIENTOS DE CADERA","0","0","0","0","0","","F"
"66","00","0070","REVISIÓN DE SUSTITUCIÓN DE CADERA, COMPONENTES ACETABULAR Y FEMORAL","0","0","0","0","0","Q","F"
"67","00","0071","REVISIÓN DE SUSTITUCIÓN DE CADERA, COMPONENTE ACETABULAR","0","0","0","0","0","Q","F"
"68","00","0072","REVISIÓN DE SUSTITUCIÓN DE CADERA, COMPONENTE FEMORAL","0","0","0","0","0","Q","F"
"69","00","0073","REVISIÓN DE SUSTITUCIÓN DE CADERA, SÓLO ALINEADOR ACETABULAR Y/O CABEZA FEMORAL","0","0","0","0","0","Q","F"
"70","00","0074","SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, METAL SOBRE POLIETILENO","0","0","0","0","0","Q","F"
"71","00","0075","SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, METAL SOBRE METAL","0","0","0","0","0","Q","F"
"72","00","0076","SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, CERÁMICA SOBRE CERÁMICA","0","0","0","0","0","Q","F"
"73","00","0077","SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, CERÁMICA SOBE POLIETILENO","0","0","0","0","0","Q","F"
"74","00","008","OTROS PROCEDIMIENTOS SOBRE RODILLA Y CADERA","0","0","0","0","0","","F"
"75","00","0080","REVISIÓN DE SUSTITUCIÓN DE RODILLA, TOTAL (TODOS LOS COMPONENTES)","0","0","0","0","0","Q","F"
"76","00","0081","REVISIÓN DE SUSTITUCIÓN DE RODILLA, COMPONENTE TIBIAL","0","0","0","0","0","Q","F"
"77","00","0082","REVISIÓN DE SUSTITUCIÓN DE RODILLA, COMPONENTE FEMORAL","0","0","0","0","0","Q","F"
"78","00","0083","REVISIÓN DE SUSTITUCIÓN DE RODILLA, COMPONENTE ROTULIANO","0","0","0","0","0","Q","F"
"79","00","0084","REVISIÓN DE SUSTITUCIÓN TOTAL DE RODILLA, INSERCIÓN (ALINEADOR) TIBIAL","0","0","0","0","0","Q","F"
"80","00","0085","RECUBRIMIENTO TOTAL DE CADERA, ACETÁBULO Y CABEZA FEMORAL","0","0","0","0","0","Q","F"
"81","00","0086","RECUBRIMIENTO PARCIAL DE CADERA, CABEZA FEMORAL","0","0","0","0","0","Q","F"
"82","00","0087","RECUBRIMIENTO PARCIAL DE CADERA, ACETÁBULO","0","0","0","0","0","Q","F"
"83","00","009","OTROS PROCEDIMIENTOS E INTERVENCIONES","0","0","0","0","0","","F"
"84","00","0091","TRASPLANTE PROCEDENTE DE DONANTE VIVO EMPARENTADO","0","0","0","0","0","Q","T"
"85","00","0092","TRASPLANTE PROCEDENTE DE DONANTE VIVO NO EMPARENTADO","0","0","0","0","0","Q","T"
"86","00","0093","TRASPLANTE PROCEDENTE DE CADÁVER","0","0","0","0","0","Q","T"
"87","00","0094","MONITORIZACIÓN NEUROFISIOLÓGICA INTRAOPERATORIA","0","0","0","0","0","D","F"
"88","00","00A","PROCEDIMIENTOS ASISTIDOS POR ROBÓTICA","0","0","0","0","0","","F"
"89","00","00A1","PROCEDIMIENTO ABIERTO ASISTIDO POR ROBÓTICA","0","0","0","0","0","Q","F"
"90","00","00A2","PROCEDIMIENTO LAPAROSCÓPICO ASISTIDO POR ROBÓTICA","0","0","0","0","0","Q","F"
"91","00","00A3","PROCEDIMIENTO PERCUTÁNEO ASISTIDO POR ROBÓTICA","0","0","0","0","0","Q","F"
"92","00","00A4","PROCEDIMIENTO ENDOSCÓPICO ASISTIDO POR ROBÓTICA","0","0","0","0","0","Q","F"
"93","00","00A5","PROCEDIMIENTO TORACOSCÓPICO ASISTIDO POR ROBÓTICA","0","0","0","0","0","Q","F"
"94","00","00A9","OTRO PROCEDIMIENTO ASISTIDO POR ROBÓTICA Y EL NO ESPECIFICADO","0","0","0","0","0","Q","F"
"95","00","00B","PROCEDIMIENTOS DE REHABILITACIÓN I","0","0","0","0","0","","F"
"96","00","00B0","POTENCIALES EVOCADOS AUDITIVOS","0","0","0","0","0","D","T"
"97","00","00B1","POTENCIALES EVOCADOS SOMATOSENSORIALES","0","0","0","0","0","D","T"
"98","00","00B2","POTENCIALES EVOCADOS MOTORES","0","0","0","0","0","D","T"
"99","00","00B3","POTENCIALES EVOCADOS COGNITIVOS","0","0","0","0","0","D","T"
"100","00","00B4","LABORATORIO DE ISOCINÉTICOS","0","0","0","0","0","D","T"
"101","00","00B5","ENTRENAMIENTO EN EL PACIENTE AMPUTADO DE MIEMBRO INFERIOR, PREPROTÉSICA","0","0","0","0","0","T","T"
"102","00","00B6","ENTRENAMIENTO EN EL PACIENTE AMPUTADO DE MIEMBRO INFERIOR, PROTÉSICA","0","0","0","0","0","T","T"
"103","00","00B7","TINA DE HUBBARD","0","0","0","0","0","T","T"
"104","00","00B8","NEUROFACILITACIÓN","0","0","0","0","0","T","T"
"105","00","00B9","TENS","0","0","0","0","0","T","T"
"106","00","00C","PROCEDIMIENTOS DE REHABILITACIÓN II","0","0","0","0","0","","F"
"107","00","00C0","EJERCICIO ISOCINÉTICO","0","0","0","0","0","T","T"
"108","00","00C1","TERAPIA CON LÁSER","0","0","0","0","0","T","T"
"109","00","00C2","FLUIDOTERAPIA","0","0","0","0","0","T","T"
"110","00","00C3","CRIOTERAPIA","0","0","0","0","0","T","T"
"111","00","00C4","CORRIENTES INTERFERENCIALES","0","0","0","0","0","T","T"
"112","00","00C5","TERAPIA OCUPACIONAL EN LESIONES DE MANO Y EXTREMIDAD SUPERIOR","0","0","0","0","0","T","T"
"113","00","00C6","TERAPIA OCUPACIONAL EN PACIENTE PEDIÁTRICO","0","0","0","0","0","T","T"
"114","00","00C7","TERAPIA OCUPACIONAL EN PACIENTE NEUROLÓGICO","0","0","0","0","0","T","T"
"115","00","00C8","TERAPIA OCUPACIONAL: ADIESTRAMIENTO EN CUIDADO Y USO DE ÓRTESIS EN PACIENTES AMPUTADOS","0","0","0","0","0","T","T"
"116","00","00C9","TERAPIA OCUPACIONAL: ADIESTRAMIENTO EN CUIDADO Y USO DE PRÓTESIS EN PACIENTES AMPUTADOS","0","0","0","0","0","T","T"
"117","00","00D","PROCEDIMIENTOS DE REHABILITACIÓN III","0","0","0","0","0","","F"
"118","00","00D0","GESTORÍA OCUPACIONAL","0","0","0","0","0","D","T"
"119","00","00D1","TALLER DE ADIESTRAMIENTO DE ACTIVIDADES MÚLTIPLES","0","0","0","0","0","T","T"
"120","00","00D2","ANÁLISIS DE PUESTO","0","0","0","0","0","D","T"
"121","00","00D3","REACOMODO LABORAL","0","0","0","0","0","T","T"
"122","00","00D4","VALORACIÓN DE CAPACIDAD RESIDUAL PARA PUESTO ESPECÍFICO","0","0","0","0","0","D","T"
"123","00","00D5","VALORACIÓN DE FUNCIONALIDAD Y CAPACIDAD POTENCIAL PARA EL TRABAJO","0","0","0","0","0","D","T"
"124","00","00D6","REHABILITACIÓN PARA EL TRABAJO","0","0","0","0","0","T","T"
"125","00","00D7","PROYECTO MAGIA","0","0","0","0","0","T","T"
"126","00","00D8","ULTRASONIDO TERAPEÚTICO","0","0","0","0","0","T","T"
"127","00","00D9","BAÑO DE PARAFINA","0","0","0","0","0","T","T"
"128","00","00E0","IRRADIACIÓN CON INFRARROJO","0","0","0","0","0","T","T"
"129","00","00E1","COMPRESAS HÚMEDO CALIENTES","0","0","0","0","0","T","T"
"130","00","00E2","ESTROBOSCOPÍA DE LARINGE","0","0","0","0","0","T","T"
"131","00","00F","PROCEDIMIENTOS EN CONSULTORIO I","0","0","0","0","0","","F"
"132","00","00F0","ADMINISTRACIÓN DE INFUSIÓN DE HIERRO","0","0","0","0","0","T","T"
"133","00","00F1","AJUSTE DE APARATOS ORTOMAXILOFACIALES","0","0","0","0","0","T","T"
"134","00","00F2","APLICACIÓN DE ORGANIL ÓTICO","0","0","0","0","0","T","T"
"135","00","00F3","APLICACIÓN TÓPICA DE FLUOR","0","0","0","0","0","T","T"
"136","00","00F4","BIOPSIA DE PERINÉ","0","0","0","0","0","D","T"
"137","00","00F5","CARDIOTOCOGRAFÍA (PSS)","0","0","0","0","0","D","F"
"138","00","00F6","COLOCACIÓN DE APARATOS ORTOMAXILOFACIALES","0","0","0","0","0","T","T"
"139","00","00F7","COLOCACIÓN DE PARCHE DE CELULOSA","0","0","0","0","0","T","T"
"140","00","00F8","CONTROL DE PLACA DENTOBACTERIANA","0","0","0","0","0","T","T"
"141","00","00F9","CURACIÓN DE HERIDA","0","0","0","0","0","T","T"
"142","00","00G","PROCEDIMIENTOS EN CONSULTORIO II","0","0","0","0","0","","F"
"143","00","00G0","DIÁLISIS ENTERAL","0","0","0","0","0","T","T"
"144","00","00G1","DRENAJE DE ABSCESO DENTARIO","0","0","0","0","0","T","T"
"145","00","00G2","ECOCARDIOGRAMA FETAL","0","0","0","0","2","D","F"
"146","00","00G3","ECOCARDIOGRAMA MATERNO","0","0","0","0","2","D","T"
"147","00","00G4","ELECTRONEUROGRAFÍA","0","0","0","0","0","D","T"
"148","00","00G5","EXTRACCIÓN DE CUERPO EXTRAÑO EN CONDUCTO AUDITIVO INTERNO","0","0","0","0","0","T","T"
"149","00","00G6","INFILTRACIÓN DE BLEOMICINA","0","0","0","0","0","T","T"
"150","00","00G7","INTERPRETACIÓN DE ELECTROCADIOGRAMA","0","0","0","0","0","D","F"
"151","00","00G8","LAVADO MECÁNICO DE CAVIDAD ORAL","0","0","0","0","0","T","T"
"152","00","00G9","PRUEBA DE DILATADORES (HEGAR)","0","0","0","0","0","D","T"
"153","00","00H","PROCEDIMIENTOS EN CONSULTORIO III","0","0","0","0","0","","F"
"154","00","00H0","PRUEBA DE MARSHALL","0","0","0","0","0","D","T"
"155","00","00H1","PRUEBAS EPICUTÁNEAS","0","0","0","0","0","D","T"
"156","00","00H2","PUVATERAPIA","0","0","0","0","0","T","T"
"157","00","00H3","RETIRO DE TAPONAMIENTO NASAL","0","0","0","0","0","T","F"
"158","00","00H4","TIMPANOMETRÍA","0","0","0","0","0","D","F"
"159","00","00H5","TOMA DE CULTIVO DE EXUDADO DE HERIDA","0","0","0","0","0","D","F"
"160","00","00H6","TOMA DE MUESTRA DE PAPANICOLAU CERVICAL","0","0","0","0","2","D","T"
"161","00","00H7","TOMA DE MUESTRA DE TRACTO GENITAL FEMENINO","0","0","0","0","2","D","T"
"162","00","00H8","INSTALACIÓN DE SONDA VESICAL","0","0","0","0","0","T","T"
"163","00","00H9","RETIRO DE SONDA VESICAL","0","0","0","0","0","T","T"
"164","00","00I","PRUEBAS NEONATALES","0","0","0","0","0","","F"
"165","00","00I0","TAMIZ METABÓLICO (NEONATAL)","0","0","0","0","0","D","T"
"166","00","00I1","TAMIZ AUDITIVO (NEONATAL)","0","0","0","0","0","D","T"
"167","00","00J","EXAMEN PARA COVID-19 (SARS-COV-2)","0","0","0","0","0","","F"
"168","00","00J0","ASPIRADO TRAQUEAL, ASPIRADO NASOFARÍNGEO O LAVADO NASAL PARA COVID-19","0","0","0","0","0","D","T"
"169","00","00J1","BIOPSIA DE PULMÓN PARA COVID-19","0","0","0","0","0","D","T"
"170","00","00J2","TEST DE DIAGNÓSTICO RÁPIDO (CROMATOGRAFÍA) PARA COVID-19","0","0","0","0","0","D","T"
"171","00","00J3","EXAMEN MICROSCÓPICO FARÍNGEO Y NASOFARÍNGEO (HISOPADO) PARA COVID-19","0","0","0","0","0","D","T"
"172","00","00J4","LAVADO BRONQUIO ALVEOLAR PARA COVID-19","0","0","0","0","0","D","T"
"173","00","00J5","PCR (“REACCIÓN EN CADENA DE LA POLIMERASA”) (TÉCNICA) PARA COVID-19","0","0","0","0","0","D","T"
"174","00","00J6","TOMOGRAFÍA AXIAL COMPUTARIZADA (TAC) DE TÓRAX PARA COVID-19","0","0","0","0","0","D","T"
"175","00","00J8","OTRO EXAMEN ESPECIFICADO PARA COVID-19","0","0","0","0","0","D","T"
"176","00","00J9","EXAMEN (PRUEBA) PARA (COVID-19), NO ESPECIFICADO DE OTRA MANERA","0","0","0","0","0","D","T"
"177","00","00K","OTROS MÉTODOS ANTICONCEPTIVOS","0","0","0","0","0","","F"
"178","00","00K1","INYECCIÓN DE HORMONA PROGESTINA","AÑOS","10","AÑOS","54","2","T","T"
"179","00","00K2","INYECCIÓN DE HORMONA ESTRÓGENO Y PROGESTERONA","AÑOS","10","AÑOS","54","2","T","T"
"180","00","00K3","PARCHE (TRANSDÉRMICO) LIBERADOR DE HORMONAS PARA ANTICONCEPCIÓN","AÑOS","10","AÑOS","54","2","T","T"
"181","00","00K8","OTRO MÉTODO ANTICONCEPTIVO ESPECIFICADO","AÑOS","10","AÑOS","54","2","T","T"
"182","00","00K9","MÉTODO ANTICONCEPTIVO, NO ESPECIFICADO DE OTRA MANERA","AÑOS","10","AÑOS","54","2","T","T"
"183","00","00L","REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","","F"
"184","00","00L0","REHABILITACIÓN CON EL USO DE HIDROTERAPIA A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"185","00","00L1","REHABILITACIÓN CON EL USO DE MECANOTERAPIA A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"186","00","00L2","REHABILITACIÓN CON EL USO DE ULTRASONIDO A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"187","00","00L3","REHABILITACIÓN CON EL USO DE LASER A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"188","00","00L4","REHABILITACIÓN CON EL USO DE LUNIMOTERAPIA A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"189","00","00L5","REHABILITACIÓN CON EL USO DE PARAFINA POST-COVID 19 A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"190","00","00L6","REHABILITACIÓN CON APOYO ISOCINÉTICO O ROBÓTICOA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"191","00","00L7","REHABILITACIÓN DE TRASTORNOS COGNITIVOS A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"192","00","00L8","OTRA REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"193","00","00L9","REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, NO ESPECIFICADA","0","0","0","0","0","T","T"
"194","00","00M","TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","","F"
"195","00","00M1","TERAPIA DE LENGUAJE PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
